"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","1716"
"Cow Dung","294"
"Electricity Fuel","5"
"KeroseneFuel","64"
"LP Gas","2200"
"Not Sated about Fuel","86"
"OthersFuel","41"
"Wood/FireWood","11559"
"Total","15965"
