"Population by Five Years Age Group","Number"
"0-4",""
"Female","685"
"Male","676"
"10-14",""
"Female","945"
"Male","964"
"15-19",""
"Female","845"
"Male","787"
"20-24",""
"Female","738"
"Male","395"
"25-29",""
"Female","629"
"Male","337"
"30-34",""
"Female","517"
"Male","340"
"35-39",""
"Female","406"
"Male","275"
"40-44",""
"Female","422"
"Male","317"
"45-49",""
"Female","387"
"Male","315"
"50-54",""
"Female","374"
"Male","322"
"55-59",""
"Female","269"
"Male","288"
"5-9",""
"Female","895"
"Male","895"
"60-64",""
"Female","238"
"Male","227"
"65-69",""
"Female","185"
"Male","185"
"70-74",""
"Female","125"
"Male","136"
"75+",""
"Female","188"
"Male","166"
