"Population by Mother tongue","Number"
"Bantawa",""
"Female","50"
"Male","51"
"Bhujel",""
"Female","78"
"Male","56"
"Chamling",""
"Female","48"
"Male","38"
"Gurung",""
"Female","596"
"Male","484"
"Khaling",""
"Female","38"
"Male","34"
"Kulung",""
"Female","14"
"Male","10"
"Limbu",""
"Female","749"
"Male","620"
"Magar",""
"Female","7"
"Male","11"
"Maithili",""
"Female","23"
"Male","26"
"Nepali",""
"Female","4292"
"Male","3622"
"Newar",""
"Female","124"
"Male","113"
"Not Reported",""
"Female","11"
"Male","7"
"Others",""
"Female","56"
"Male","47"
"Rai",""
"Female","95"
"Male","87"
"Sampang",""
"Female","12"
"Male","13"
"Sherpa",""
"Female","344"
"Male","277"
"Tamang",""
"Female","800"
"Male","677"
"Thulung",""
"Female","14"
"Male","21"
"Yakkha",""
"Female","485"
"Male","423"
"Yamphu/Yamphe",""
"Female","11"
"Male","6"
