"Number of households by type of outer wall","Number"
"BambooWall","4543"
"Cement Bonded Bricks/Stone Wall","878"
"Mud Bonded Bricks/Stone Wall","408"
"Not Stated about Wall","135"
"Other Type Wall","19"
"Unbaked Bricks","18"
"Wood/Planks","68"
"Total","6069"
