"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","12"
"Christianity","6"
"Hindu","33332"
"Islam","6918"
"Jainism","1"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","141"
"Total","40410"
