"Number of households by type of outer wall","Number"
"BambooWall","3410"
"Cement Bonded Bricks/Stone Wall","1349"
"Mud Bonded Bricks/Stone Wall","629"
"Not Stated about Wall","221"
"Other Type Wall","3"
"Unbaked Bricks","54"
"Wood/Planks","151"
"Total","5817"
