"Population by Five Years Age Group","Number"
"0-4",""
"Female","2837"
"Male","3235"
"10-14",""
"Female","5073"
"Male","5169"
"15-19",""
"Female","5001"
"Male","4341"
"20-24",""
"Female","4221"
"Male","2714"
"25-29",""
"Female","3585"
"Male","2304"
"30-34",""
"Female","2934"
"Male","1994"
"35-39",""
"Female","2676"
"Male","1892"
"40-44",""
"Female","2316"
"Male","1810"
"45-49",""
"Female","1911"
"Male","1636"
"50-54",""
"Female","1544"
"Male","1380"
"55-59",""
"Female","1229"
"Male","1219"
"5-9",""
"Female","4014"
"Male","4254"
"60-64",""
"Female","1066"
"Male","1016"
"65-69",""
"Female","800"
"Male","876"
"70-74",""
"Female","507"
"Male","541"
"75+",""
"Female","615"
"Male","644"
