"Population by Mother tongue","Number"
"Avadhi",""
"Female","1240"
"Male","1270"
"Bhojpuri",""
"Female","72"
"Male","86"
"Bote",""
"Female","7"
"Male","8"
"Danuwar",""
"Female","8"
"Male","6"
"Doteli",""
"Female","5"
"Male","6"
"Gurung",""
"Female","160"
"Male","130"
"Hindi",""
"Female","56"
"Male","69"
"Magar",""
"Female","1882"
"Male","1512"
"Maithili",""
"Female","73"
"Male","77"
"Nepali",""
"Female","22067"
"Male","17978"
"Newar",""
"Female","162"
"Male","142"
"Not Reported",""
"Female","34"
"Male","34"
"Others",""
"Female","23"
"Male","19"
"Sherpa",""
"Female","8"
"Male","9"
"Tamang",""
"Female","17"
"Male","12"
"Thakali",""
"Female","11"
"Male","10"
"Tharu",""
"Female","14039"
"Male","13141"
"Urdu",""
"Female","445"
"Male","424"
