"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","39"
"Cow Dung","755"
"Electricity Fuel","0"
"KeroseneFuel","86"
"LP Gas","47"
"Not Sated about Fuel","45"
"OthersFuel","0"
"Wood/FireWood","4698"
"Total","5670"
