"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","13"
"Male","9"
"Brahman - Hill",""
"Female","2566"
"Male","2539"
"Chhetri",""
"Female","5204"
"Male","4492"
"Dalit Others",""
"Female","41"
"Male","35"
"Damai/Dholi",""
"Female","422"
"Male","347"
"Gurung",""
"Female","50"
"Male","31"
"Kami",""
"Female","1093"
"Male","921"
"Limbu",""
"Female","6"
"Male","8"
"Lohar",""
"Female","23"
"Male","19"
"Magar",""
"Female","160"
"Male","210"
"Musalman",""
"Female","6"
"Male","18"
"Newar",""
"Female","531"
"Male","413"
"Others",""
"Female","21"
"Male","21"
"Rai",""
"Female","15"
"Male","18"
"Sanyasi/Dasnami",""
"Female","47"
"Male","51"
"Sarki",""
"Female","747"
"Male","601"
"Tamang",""
"Female","24"
"Male","30"
"Thakuri",""
"Female","57"
"Male","71"
"Tharu",""
"Female","24"
"Male","37"
"Yadav",""
"Female","192"
"Male","132"
