"Population by Single Year of Age","Number"
"0",""
"Female","17747"
"Male","18281"
"1",""
"Female","15976"
"Male","16588"
"10",""
"Female","24252"
"Male","25177"
"11",""
"Female","19186"
"Male","19274"
"12",""
"Female","25673"
"Male","26354"
"13",""
"Female","20353"
"Male","20027"
"14",""
"Female","21736"
"Male","21080"
"15",""
"Female","19669"
"Male","18371"
"16",""
"Female","19475"
"Male","18198"
"17",""
"Female","14700"
"Male","13336"
"18",""
"Female","22372"
"Male","19746"
"19",""
"Female","13326"
"Male","11732"
"2",""
"Female","20293"
"Male","21140"
"20",""
"Female","17514"
"Male","13640"
"21",""
"Female","14037"
"Male","11685"
"22",""
"Female","17206"
"Male","14243"
"23",""
"Female","12961"
"Male","10678"
"24",""
"Female","13456"
"Male","11241"
"25",""
"Female","17030"
"Male","13764"
"26",""
"Female","12499"
"Male","10559"
"27",""
"Female","10671"
"Male","9518"
"28",""
"Female","14520"
"Male","12574"
"29",""
"Female","6900"
"Male","6715"
"3",""
"Female","22457"
"Male","22652"
"30",""
"Female","18395"
"Male","13795"
"31",""
"Female","5775"
"Male","5539"
"32",""
"Female","10946"
"Male","9961"
"33",""
"Female","6861"
"Male","6320"
"34",""
"Female","6836"
"Male","6120"
"35",""
"Female","17567"
"Male","14537"
"36",""
"Female","7855"
"Male","7874"
"37",""
"Female","5003"
"Male","4994"
"38",""
"Female","8888"
"Male","8305"
"39",""
"Female","4852"
"Male","4664"
"4",""
"Female","23622"
"Male","24660"
"40",""
"Female","17030"
"Male","13877"
"41",""
"Female","4474"
"Male","4742"
"42",""
"Female","6702"
"Male","7235"
"43",""
"Female","4425"
"Male","4592"
"44",""
"Female","3923"
"Male","4061"
"45",""
"Female","12539"
"Male","11081"
"46",""
"Female","4616"
"Male","4889"
"47",""
"Female","3442"
"Male","3858"
"48",""
"Female","6216"
"Male","6855"
"49",""
"Female","3127"
"Male","3318"
"5",""
"Female","23789"
"Male","24407"
"50",""
"Female","11451"
"Male","10694"
"51",""
"Female","3075"
"Male","3709"
"52",""
"Female","4439"
"Male","5604"
"53",""
"Female","2739"
"Male","3345"
"54",""
"Female","2586"
"Male","2887"
"55",""
"Female","7353"
"Male","7483"
"56",""
"Female","3315"
"Male","4028"
"57",""
"Female","2478"
"Male","3006"
"58",""
"Female","3978"
"Male","4442"
"59",""
"Female","2509"
"Male","2973"
"6",""
"Female","23114"
"Male","23544"
"60",""
"Female","10236"
"Male","8533"
"61",""
"Female","3505"
"Male","3334"
"62",""
"Female","3914"
"Male","3650"
"63",""
"Female","2510"
"Male","2478"
"64",""
"Female","1987"
"Male","2124"
"65",""
"Female","6477"
"Male","5119"
"66",""
"Female","1759"
"Male","1997"
"67",""
"Female","1476"
"Male","1837"
"68",""
"Female","2215"
"Male","2819"
"69",""
"Female","887"
"Male","1211"
"7",""
"Female","21858"
"Male","21395"
"70",""
"Female","4092"
"Male","3575"
"71",""
"Female","781"
"Male","1008"
"72",""
"Female","1186"
"Male","1504"
"73",""
"Female","649"
"Male","920"
"74",""
"Female","454"
"Male","630"
"75",""
"Female","1779"
"Male","1627"
"76",""
"Female","495"
"Male","627"
"77",""
"Female","345"
"Male","519"
"78",""
"Female","628"
"Male","884"
"79",""
"Female","263"
"Male","379"
"8",""
"Female","23806"
"Male","24673"
"80",""
"Female","1146"
"Male","915"
"81",""
"Female","208"
"Male","297"
"82",""
"Female","243"
"Male","333"
"83",""
"Female","176"
"Male","219"
"84",""
"Female","194"
"Male","247"
"85",""
"Female","1059"
"Male","1001"
"9",""
"Female","20238"
"Male","20096"
