"Agricultural Land Use","Hectare"
"All Other Land","11428.70"
"Land Used for Permanent Crop","9169.40"
"Land used for Permanent Meadows and Pastures","4730.00"
"Land used for Temporary Crop","113690.50"
"Wood Land and Forest","2676.30"
"Total","141694.90"
