"Number of households by type of outer wall","Number"
"BambooWall","1960"
"Cement Bonded Bricks/Stone Wall","17590"
"Mud Bonded Bricks/Stone Wall","258338"
"Not stated","2611"
"Others","643"
"Unbaked Bricks","853"
"Wood/Planks","16179"
"Total","298174"
