"Agricultural land use area","Hectare"
"Area under arable land","118510.50"
"Area under meadows and pasture","4729.97"
"Area under permanent crops","9169.40"
"Area under Temporary crops","113690.46"
"Area under temporary fallow","3696.27"
"Area under temporary meadows","1123.78"
"Other land","6593.17"
"Ponds","15.53"
"Woodland and forest","2676.32"
