"Population by Rural/Urban","Number"
"Metropolitan City Population",""
"Female","0"
"Male","0"
"Total","0"
"Municipality Population",""
"Female","401671"
"Male","385922"
"Total","787593"
"Number of Metropolitan City","0"
"Number of Municipality","25"
"Number of Rural Municipality","54"
"Number of Sub-Metropolitan City","0"
"Rural Municipality Population",""
"Female","400824"
"Male","382001"
"Total","782825"
"Sub-Metropolitan City Population",""
"Female","0"
"Male","0"
"Total","0"
