"Population by Five Years Age Group","Number"
"0-4",""
"Female","929"
"Male","1102"
"10-14",""
"Female","1602"
"Male","1614"
"15-19",""
"Female","1496"
"Male","1087"
"20-24",""
"Female","1154"
"Male","476"
"25-29",""
"Female","1009"
"Male","395"
"30-34",""
"Female","758"
"Male","325"
"35-39",""
"Female","736"
"Male","340"
"40-44",""
"Female","686"
"Male","393"
"45-49",""
"Female","544"
"Male","363"
"50-54",""
"Female","552"
"Male","435"
"55-59",""
"Female","477"
"Male","397"
"5-9",""
"Female","1271"
"Male","1368"
"60-64",""
"Female","473"
"Male","385"
"65-69",""
"Female","298"
"Male","327"
"70-74",""
"Female","204"
"Male","224"
"75+",""
"Female","255"
"Male","232"
