"Industries Types","Number"
"Accommodation and food","615"
"Administrative and support service activity","20"
"Agriculture, forestry and fishing","109"
"Art, entertainment and recreation","35"
"Construction","12"
"Education","492"
"Electricty gas and water","34"
"Financial intermediation and insurance","156"
"Health and social work","106"
"Information and communications","13"
"Manufacturing","688"
"Mining and quarrying","1"
"Other service activities","358"
"Professional,scientific and techniqual activity","31"
"Real state, renting and business activities","0"
"Transport and storage","32"
"Water supply, wet management","16"
"Wholesale and retail trade","2719"
"Total","5437"
