"Industries Employment","Number"
"Accommodation,  food",""
"Female","722"
"Male","462"
"Administrative, support service",""
"Female","5"
"Male","29"
"Agriculture, forestry and  fishing",""
"Female","135"
"Male","244"
"Arts, entertainment, recreation",""
"Female","22"
"Male","62"
"Construction",""
"Female","38"
"Male","102"
"Education",""
"Female","1582"
"Male","2032"
"Electricity, gas and water",""
"Female","18"
"Male","209"
"Financial intermediation and insurance",""
"Female","167"
"Male","340"
"Health, social work",""
"Female","272"
"Male","238"
"Information and communication",""
"Female","39"
"Male","68"
"Manufacturing",""
"Female","374"
"Male","1038"
"Other service activities",""
"Female","197"
"Male","431"
"Professional, scientific, techniqual activity",""
"Female","18"
"Male","50"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","22"
"Male","166"
"Water supply, wet management",""
"Female","9"
"Male","45"
"Wholesale, retail trade",""
"Female","2252"
"Male","2133"
