"Population by Five Years Age Group","Number"
"0-4",""
"Female","1304"
"Male","1368"
"10-14",""
"Female","1266"
"Male","1232"
"15-19",""
"Female","816"
"Male","797"
"20-24",""
"Female","807"
"Male","599"
"25-29",""
"Female","660"
"Male","507"
"30-34",""
"Female","521"
"Male","395"
"35-39",""
"Female","420"
"Male","352"
"40-44",""
"Female","371"
"Male","265"
"45-49",""
"Female","309"
"Male","264"
"50-54",""
"Female","245"
"Male","211"
"55-59",""
"Female","271"
"Male","222"
"5-9",""
"Female","1284"
"Male","1349"
"60-64",""
"Female","325"
"Male","199"
"65-69",""
"Female","178"
"Male","171"
"70-74",""
"Female","130"
"Male","100"
"75+",""
"Female","129"
"Male","96"
