"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2339"
"Male","1999"
"","4338"
"Brahmu/ Baramo",""
"Female","76"
"Male","65"
"","141"
"Chepang /Praja",""
"Female","19"
"Male","16"
"","35"
"Chhetri",""
"Female","894"
"Male","782"
"","1676"
"Damai/Dholi",""
"Female","497"
"Male","401"
"","898"
"Gaine",""
"Female","14"
"Male","14"
"","28"
"Ghale",""
"Female","791"
"Male","671"
"","1462"
"Gharti/Bhujel",""
"Female","188"
"Male","188"
"","376"
"Gurung",""
"Female","421"
"Male","336"
"","757"
"Kami",""
"Female","651"
"Male","528"
"","1179"
"Limbu",""
"Female","7"
"Male","8"
"","15"
"Magar",""
"Female","2487"
"Male","2172"
"","4659"
"Majhi",""
"Female","152"
"Male","151"
"","303"
"Musalman",""
"Female","8"
"Male","6"
"","14"
"Newar",""
"Female","2101"
"Male","1821"
"","3922"
"Others",""
"Female","31"
"Male","18"
"","49"
"Rai",""
"Female","11"
"Male","13"
"","24"
"Sanyasi/Dasnami",""
"Female","527"
"Male","473"
"","1000"
"Sarki",""
"Female","1227"
"Male","1038"
"","2265"
"Tamang",""
"Female","193"
"Male","162"
"","355"
"Terai Others",""
"Female","9"
"Male","9"
"","18"
"Thakuri",""
"Female","121"
"Male","94"
"","215"
