"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","83"
"Cow Dung","82"
"Electricity","2"
"Kerosene","74"
"LP Gas","194"
"Not stated","282"
"Others","116"
"Wood/Firewood","47485"
"Total","48318"
