"Population by Five Years Age Group","Number"
"0-4",""
"Female","17932"
"Male","18457"
"10-14",""
"Female","19486"
"Male","19210"
"15-19",""
"Female","14718"
"Male","12408"
"20-24",""
"Female","11067"
"Male","8256"
"25-29",""
"Female","9475"
"Male","7310"
"30-34",""
"Female","7749"
"Male","5510"
"35-39",""
"Female","7004"
"Male","5457"
"40-44",""
"Female","5946"
"Male","4239"
"45-49",""
"Female","4978"
"Male","4051"
"50-54",""
"Female","3873"
"Male","3384"
"55-59",""
"Female","3176"
"Male","2933"
"5-9",""
"Female","19760"
"Male","19955"
"60-64",""
"Female","4224"
"Male","2920"
"65-69",""
"Female","3283"
"Male","2350"
"70-74",""
"Female","2715"
"Male","1870"
"75+",""
"Female","2083"
"Male","1698"
