"Agricultural land use area","Hectare"
"Area under arable land","15936.11"
"Area under meadows and pasture","1195.99"
"Area under permanent crops","169.38"
"Area under Temporary crops","15254.46"
"Area under temporary fallow","535.13"
"Area under temporary meadows","146.52"
"Other land","696.26"
"Ponds","5.31"
"Woodland and forest","485.56"
