"Population by Single Year of Age","Number"
"0",""
"Female","3307"
"Male","3433"
"1",""
"Female","2584"
"Male","2573"
"10",""
"Female","4410"
"Male","4373"
"11",""
"Female","3138"
"Male","3174"
"12",""
"Female","4552"
"Male","4741"
"13",""
"Female","3596"
"Male","3410"
"14",""
"Female","3790"
"Male","3512"
"15",""
"Female","3287"
"Male","2980"
"16",""
"Female","3583"
"Male","2894"
"17",""
"Female","2134"
"Male","1869"
"18",""
"Female","3722"
"Male","3047"
"19",""
"Female","1992"
"Male","1618"
"2",""
"Female","3828"
"Male","3854"
"20",""
"Female","2907"
"Male","2111"
"21",""
"Female","1950"
"Male","1520"
"22",""
"Female","2450"
"Male","1890"
"23",""
"Female","1765"
"Male","1358"
"24",""
"Female","1995"
"Male","1377"
"25",""
"Female","2849"
"Male","1992"
"26",""
"Female","1907"
"Male","1376"
"27",""
"Female","1425"
"Male","1269"
"28",""
"Female","2335"
"Male","1850"
"29",""
"Female","959"
"Male","823"
"3",""
"Female","3941"
"Male","4122"
"30",""
"Female","3186"
"Male","1909"
"31",""
"Female","762"
"Male","698"
"32",""
"Female","1688"
"Male","1303"
"33",""
"Female","987"
"Male","801"
"34",""
"Female","1126"
"Male","799"
"35",""
"Female","3038"
"Male","2108"
"36",""
"Female","1126"
"Male","996"
"37",""
"Female","661"
"Male","616"
"38",""
"Female","1517"
"Male","1212"
"39",""
"Female","662"
"Male","525"
"4",""
"Female","4272"
"Male","4475"
"40",""
"Female","3107"
"Male","1757"
"41",""
"Female","615"
"Male","581"
"42",""
"Female","1011"
"Male","868"
"43",""
"Female","625"
"Male","576"
"44",""
"Female","588"
"Male","457"
"45",""
"Female","2364"
"Male","1593"
"46",""
"Female","662"
"Male","700"
"47",""
"Female","500"
"Male","468"
"48",""
"Female","1019"
"Male","924"
"49",""
"Female","433"
"Male","366"
"5",""
"Female","4252"
"Male","4398"
"50",""
"Female","2056"
"Male","1442"
"51",""
"Female","384"
"Male","448"
"52",""
"Female","666"
"Male","712"
"53",""
"Female","375"
"Male","428"
"54",""
"Female","392"
"Male","354"
"55",""
"Female","1406"
"Male","1175"
"56",""
"Female","457"
"Male","493"
"57",""
"Female","312"
"Male","345"
"58",""
"Female","672"
"Male","592"
"59",""
"Female","329"
"Male","328"
"6",""
"Female","4141"
"Male","4184"
"60",""
"Female","2169"
"Male","1351"
"61",""
"Female","553"
"Male","463"
"62",""
"Female","720"
"Male","540"
"63",""
"Female","424"
"Male","290"
"64",""
"Female","358"
"Male","276"
"65",""
"Female","1942"
"Male","1096"
"66",""
"Female","331"
"Male","289"
"67",""
"Female","292"
"Male","264"
"68",""
"Female","543"
"Male","520"
"69",""
"Female","175"
"Male","181"
"7",""
"Female","3796"
"Male","3707"
"70",""
"Female","1516"
"Male","949"
"71",""
"Female","337"
"Male","253"
"72",""
"Female","515"
"Male","379"
"73",""
"Female","219"
"Male","181"
"74",""
"Female","128"
"Male","108"
"75",""
"Female","799"
"Male","511"
"76",""
"Female","146"
"Male","150"
"77",""
"Female","94"
"Male","110"
"78",""
"Female","168"
"Male","193"
"79",""
"Female","51"
"Male","72"
"8",""
"Female","4234"
"Male","4306"
"80",""
"Female","368"
"Male","211"
"81",""
"Female","54"
"Male","74"
"82",""
"Female","68"
"Male","79"
"83",""
"Female","30"
"Male","37"
"84",""
"Female","32"
"Male","52"
"85",""
"Female","273"
"Male","209"
"9",""
"Female","3337"
"Male","3360"
