"Number of households by type of outer wall","Number"
"BambooWall","3966"
"Cement Bonded Bricks/Stone Wall","666"
"Mud Bonded Bricks/Stone Wall","108"
"Not Stated about Wall","21"
"Other Type Wall","34"
"Unbaked Bricks","7"
"Wood/Planks","28"
"Total","4830"
