"Population by Mother tongue","Number"
"Achhami",""
"Female","3137"
"Male","2623"
"","5760"
"Baitadeli",""
"Female","589"
"Male","598"
"","1187"
"Bajhangi",""
"Female","119"
"Male","137"
"","256"
"Bajureli",""
"Female","729"
"Male","664"
"","1393"
"Bangla",""
"Female","4"
"Male","7"
"","11"
"Dadeldhuri",""
"Female","13"
"Male","12"
"","25"
"Dailekhi",""
"Female","77"
"Male","81"
"","158"
"Darchuleli",""
"Female","103"
"Male","104"
"","207"
"Doteli",""
"Female","3743"
"Male","3473"
"","7216"
"Gurung",""
"Female","11"
"Male","12"
"","23"
"Hindi",""
"Female","84"
"Male","92"
"","176"
"Jumli",""
"Female","12"
"Male","15"
"","27"
"Kham",""
"Female","54"
"Male","62"
"","116"
"Magar",""
"Female","205"
"Male","181"
"","386"
"Maithili",""
"Female","259"
"Male","248"
"","507"
"Meche",""
"Female","20"
"Male","17"
"","37"
"Nepali",""
"Female","13825"
"Male","12916"
"","26741"
"Newar",""
"Female","19"
"Male","17"
"","36"
"Not Reported",""
"Female","7"
"Male","6"
"","13"
"Others",""
"Female","58"
"Male","44"
"","102"
"Raji",""
"Female","16"
"Male","18"
"","34"
"Tamang",""
"Female","16"
"Male","9"
"","25"
"Tharu",""
"Female","15600"
"Male","15477"
"","31077"
"Urdu",""
"Female","34"
"Male","39"
"","73"
