"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","2940"
"Cow Dung","8"
"Electricity","52"
"Kerosene","618"
"LP Gas","7517"
"Not stated","264"
"Others","76"
"Wood/Firewood","62367"
"Total","73842"
