"Population by Five Years Age Group","Number"
"0-4",""
"Female","14681"
"Male","15401"
"10-14",""
"Female","23575"
"Male","23181"
"15-19",""
"Female","21517"
"Male","17783"
"20-24",""
"Female","16239"
"Male","10417"
"25-29",""
"Female","13321"
"Male","9453"
"30-34",""
"Female","10945"
"Male","7974"
"35-39",""
"Female","10217"
"Male","7843"
"40-44",""
"Female","9401"
"Male","7714"
"45-49",""
"Female","8106"
"Male","7191"
"50-54",""
"Female","7294"
"Male","7432"
"55-59",""
"Female","5619"
"Male","5738"
"5-9",""
"Female","19301"
"Male","19500"
"60-64",""
"Female","5394"
"Male","5250"
"65-69",""
"Female","4221"
"Male","4577"
"70-74",""
"Female","3402"
"Male","3368"
"75+",""
"Female","5000"
"Male","5012"
