"Agricultural land use area","Hectare"
"Area under arable land","31608.30"
"Area under meadows and pasture","323.95"
"Area under permanent crops","935.27"
"Area under Temporary crops","30991.31"
"Area under temporary fallow","500.90"
"Area under temporary meadows","116.08"
"Other land","1865.27"
"Ponds","5.36"
"Woodland and forest","659.86"
