"Agricultural land use area","Hectare"
"Area under arable land","26078.00"
"Area under meadows and pasture","492.00"
"Area under permanent crops","1763.00"
"Area under Temporary crops","25119.00"
"Area under temporary fallow","682.00"
"Area under temporary meadows","276.00"
"Other land","1304.00"
"Ponds","4.00"
"Woodland and forest","1710.00"
"Total","57428.00"
