"Population by Religion","Number"
"Bahai","17"
"Bon","4"
"Buddism","15120"
"Christianity","4318"
"Hindu","121278"
"Islam","43"
"Jainism","0"
"Kirat","64745"
"Prakriti","127"
"Sikhism","0"
"Undefined","660"
"Total","206312"
