"Population by Five Years Age Group","Number"
"0-4",""
"Female","2620"
"Male","2747"
"10-14",""
"Female","3135"
"Male","3342"
"15-19",""
"Female","2550"
"Male","2609"
"20-24",""
"Female","2187"
"Male","1839"
"25-29",""
"Female","2115"
"Male","1742"
"30-34",""
"Female","1821"
"Male","1573"
"35-39",""
"Female","1701"
"Male","1590"
"40-44",""
"Female","1455"
"Male","1363"
"45-49",""
"Female","1276"
"Male","1220"
"50-54",""
"Female","996"
"Male","1037"
"55-59",""
"Female","903"
"Male","819"
"5-9",""
"Female","3175"
"Male","3048"
"60-64",""
"Female","750"
"Male","762"
"65-69",""
"Female","522"
"Male","573"
"70-74",""
"Female","283"
"Male","360"
"75+",""
"Female","312"
"Male","333"
