"Number of households by type of outer wall","Number"
"BambooWall","5894"
"Cement Bonded Bricks/Stone Wall","610"
"Mud Bonded Bricks/Stone Wall","251"
"Not Stated about Wall","224"
"Other Type Wall","78"
"Unbaked Bricks","22"
"Wood/Planks","312"
"Total","7391"
