"Agricultural land use area","Hectare"
"Area under arable land","404541.00"
"Area under meadows and pasture","5561.21"
"Area under permanent crops","44387.56"
"Area under Temporary crops","398848.81"
"Area under temporary fallow","4389.12"
"Area under temporary meadows","1303.05"
"Other land","21017.22"
"Ponds","828.33"
"Woodland and forest","8342.69"
