"Population by Rural/Urban","Number"
"Metropolitan City Population",""
"Female","0"
"Male","0"
"Total","0"
"Municipality Population",""
"Female","923137"
"Male","846921"
"Total","1770058"
"Number of Metropolitan City","0"
"Number of Municipality","32"
"Number of Rural Municipality","73"
"Number of Sub-Metropolitan City","4"
"Rural Municipality Population",""
"Female","1137354"
"Male","1007860"
"Total","2145214"
"Sub-Metropolitan City Population",""
"Female","298465"
"Male","285535"
"Total","584000"
