"Agricultural Land Use","Hectare"
"All Other Land","27537.80"
"Land Used for Permanent Crop","44387.50"
"Land used for Permanent Meadows and Pastures","5561.20"
"Land used for Temporary Crop","398848.80"
"Wood Land and Forest","8342.70"
"Total","484678.00"
