"Agricultural land use area","Hectare"
"Area under arable land","31608.00"
"Area under meadows and pasture","324.00"
"Area under permanent crops","935.00"
"Area under Temporary crops","30991.00"
"Area under temporary fallow","501.00"
"Area under temporary meadows","116.00"
"Other land","1865.00"
"Ponds","5.00"
"Woodland and forest","660.00"
"Total","67005.00"
