"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","164"
"Male","368"
"","532"
"Bhujel",""
"Female","10"
"Male","12"
"","22"
"Chepang",""
"Female","4195"
"Male","4247"
"","8442"
"Doteli",""
"Female","7"
"Male","4"
"","11"
"English",""
"Female","10"
"Male","8"
"","18"
"Ghale",""
"Female","1451"
"Male","1012"
"","2463"
"Gurung",""
"Female","3992"
"Male","3039"
"","7031"
"Hindi",""
"Female","71"
"Male","202"
"","273"
"Jirel",""
"Female","5"
"Male","9"
"","14"
"Kumal",""
"Female","815"
"Male","772"
"","1587"
"Limbu",""
"Female","8"
"Male","5"
"","13"
"Magar",""
"Female","3508"
"Male","2924"
"","6432"
"Maithili",""
"Female","106"
"Male","278"
"","384"
"Majhi",""
"Female","24"
"Male","24"
"","48"
"Nepali",""
"Female","126181"
"Male","109603"
"","235784"
"Newar",""
"Female","1630"
"Male","1455"
"","3085"
"Not Reported",""
"Female","129"
"Male","123"
"","252"
"Others",""
"Female","159"
"Male","174"
"","333"
"Rai",""
"Female","37"
"Male","37"
"","74"
"Sherpa",""
"Female","0"
"Male","13"
"","13"
"Sign Language",""
"Female","7"
"Male","9"
"","16"
"Tamang",""
"Female","35516"
"Male","31598"
"","67114"
"Tharu",""
"Female","15"
"Male","27"
"","42"
"Urdu",""
"Female","152"
"Male","157"
"","309"
