"Number of households by type of outer wall","Number"
"BambooWall","806"
"Cement Bonded Bricks/Stone Wall","8538"
"Mud Bonded Bricks/Stone Wall","62986"
"Not Stated about Wall","496"
"Other Type Wall","176"
"Unbaked Bricks","10"
"Wood/Planks","830"
"Total","73842"
