"Children, Adolescent, Youth, Elderly and Working Population","Number"
"Adolescent (10-19)",""
"Female","32311"
"Male","32311"
"Children (0-4)",""
"Female","12337"
"Male","12337"
"Elderely (60+)",""
"Female","12184"
"Male","12184"
"Working population (15-59)",""
"Female","57932"
"Male","57932"
"Youth (15-24)",""
"Female","21993"
"Male","21993"
