"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","2009"
"Cow Dung","56"
"Electricity","66"
"Kerosene","342"
"LP Gas","8883"
"Not stated","177"
"Others","55"
"Wood/Firewood","47672"
"Total","59260"
