"Agricultural land use area","Hectare"
"Area under arable land","20996.08"
"Area under meadows and pasture","464.95"
"Area under permanent crops","6191.48"
"Area under Temporary crops","20523.61"
"Area under temporary fallow","425.86"
"Area under temporary meadows","46.61"
"Other land","1634.82"
"Ponds","6.19"
"Woodland and forest","691.79"
