"Population by Caste Ethinicity","Number"
"Badi",""
"Female","18"
"Male","21"
"","39"
"Brahman - Hill",""
"Female","20"
"Male","14"
"","34"
"Chamar/ Harijan/ Ram",""
"Female","18"
"Male","9"
"","27"
"Chhetri",""
"Female","891"
"Male","746"
"","1637"
"Dalit Others",""
"Female","18"
"Male","14"
"","32"
"Damai/Dholi",""
"Female","331"
"Male","248"
"","579"
"Ghale",""
"Female","7"
"Male","5"
"","12"
"Gurung",""
"Female","215"
"Male","172"
"","387"
"Kami",""
"Female","1715"
"Male","1380"
"","3095"
"Magar",""
"Female","6654"
"Male","5639"
"","12293"
"Newar",""
"Female","177"
"Male","140"
"","317"
"Others",""
"Female","26"
"Male","16"
"","42"
"Thakali",""
"Female","16"
"Male","8"
"","24"
"Thakuri",""
"Female","40"
"Male","31"
"","71"
