"Population by Five Years Age Group","Number"
"0-4",""
"Female","908"
"Male","849"
"10-14",""
"Female","892"
"Male","910"
"15-19",""
"Female","734"
"Male","718"
"20-24",""
"Female","662"
"Male","664"
"25-29",""
"Female","456"
"Male","421"
"30-34",""
"Female","377"
"Male","353"
"35-39",""
"Female","361"
"Male","362"
"40-44",""
"Female","301"
"Male","312"
"45-49",""
"Female","241"
"Male","308"
"50-54",""
"Female","210"
"Male","217"
"55-59",""
"Female","184"
"Male","220"
"5-9",""
"Female","926"
"Male","872"
"60-64",""
"Female","205"
"Male","172"
"65-69",""
"Female","98"
"Male","115"
"70-74",""
"Female","29"
"Male","58"
"75+",""
"Female","42"
"Male","39"
