"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","832"
"Male","817"
"","1649"
"Chhetri",""
"Female","2789"
"Male","2649"
"","5438"
"Damai/Dholi",""
"Female","186"
"Male","184"
"","370"
"Kami",""
"Female","1367"
"Male","1340"
"","2707"
"Kumal",""
"Female","21"
"Male","15"
"","36"
"Lohar",""
"Female","68"
"Male","75"
"","143"
"Others",""
"Female","9"
"Male","4"
"","13"
"Sanyasi/Dasnami",""
"Female","202"
"Male","161"
"","363"
"Sarki",""
"Female","53"
"Male","63"
"","116"
"Thakuri",""
"Female","1031"
"Male","918"
"","1949"
