"Population by Five Years Age Group","Number"
"0-4",""
"Female","2295"
"Male","2189"
"10-14",""
"Female","3248"
"Male","3195"
"15-19",""
"Female","3244"
"Male","2772"
"20-24",""
"Female","2399"
"Male","1667"
"25-29",""
"Female","1827"
"Male","1603"
"30-34",""
"Female","1361"
"Male","1042"
"35-39",""
"Female","1316"
"Male","988"
"40-44",""
"Female","1340"
"Male","977"
"45-49",""
"Female","1185"
"Male","968"
"50-54",""
"Female","990"
"Male","935"
"55-59",""
"Female","864"
"Male","797"
"5-9",""
"Female","2937"
"Male","2845"
"60-64",""
"Female","775"
"Male","733"
"65-69",""
"Female","598"
"Male","581"
"70-74",""
"Female","408"
"Male","531"
"75+",""
"Female","571"
"Male","679"
