"Population by Single Year of Age","Number"
"0",""
"Female","92"
"Male","106"
"1",""
"Female","96"
"Male","94"
"10",""
"Female","161"
"Male","167"
"11",""
"Female","145"
"Male","149"
"12",""
"Female","177"
"Male","184"
"13",""
"Female","180"
"Male","168"
"14",""
"Female","180"
"Male","163"
"15",""
"Female","177"
"Male","163"
"16",""
"Female","159"
"Male","171"
"17",""
"Female","142"
"Male","163"
"18",""
"Female","176"
"Male","189"
"19",""
"Female","107"
"Male","94"
"2",""
"Female","104"
"Male","81"
"20",""
"Female","143"
"Male","91"
"21",""
"Female","102"
"Male","73"
"22",""
"Female","131"
"Male","89"
"23",""
"Female","88"
"Male","55"
"24",""
"Female","94"
"Male","46"
"25",""
"Female","127"
"Male","60"
"26",""
"Female","68"
"Male","42"
"27",""
"Female","77"
"Male","65"
"28",""
"Female","90"
"Male","56"
"29",""
"Female","44"
"Male","35"
"3",""
"Female","102"
"Male","113"
"30",""
"Female","114"
"Male","71"
"31",""
"Female","29"
"Male","28"
"32",""
"Female","68"
"Male","45"
"33",""
"Female","43"
"Male","26"
"34",""
"Female","41"
"Male","31"
"35",""
"Female","116"
"Male","56"
"36",""
"Female","47"
"Male","35"
"37",""
"Female","47"
"Male","44"
"38",""
"Female","70"
"Male","38"
"39",""
"Female","32"
"Male","34"
"4",""
"Female","126"
"Male","126"
"40",""
"Female","121"
"Male","90"
"41",""
"Female","53"
"Male","39"
"42",""
"Female","78"
"Male","59"
"43",""
"Female","56"
"Male","29"
"44",""
"Female","46"
"Male","32"
"45",""
"Female","85"
"Male","63"
"46",""
"Female","56"
"Male","36"
"47",""
"Female","43"
"Male","46"
"48",""
"Female","49"
"Male","61"
"49",""
"Female","38"
"Male","46"
"5",""
"Female","138"
"Male","135"
"50",""
"Female","112"
"Male","98"
"51",""
"Female","33"
"Male","35"
"52",""
"Female","54"
"Male","61"
"53",""
"Female","57"
"Male","55"
"54",""
"Female","38"
"Male","36"
"55",""
"Female","64"
"Male","51"
"56",""
"Female","42"
"Male","37"
"57",""
"Female","36"
"Male","30"
"58",""
"Female","42"
"Male","44"
"59",""
"Female","31"
"Male","31"
"6",""
"Female","128"
"Male","120"
"60",""
"Female","60"
"Male","72"
"61",""
"Female","32"
"Male","37"
"62",""
"Female","32"
"Male","30"
"63",""
"Female","28"
"Male","34"
"64",""
"Female","32"
"Male","38"
"65",""
"Female","51"
"Male","42"
"66",""
"Female","14"
"Male","19"
"67",""
"Female","27"
"Male","32"
"68",""
"Female","27"
"Male","25"
"69",""
"Female","22"
"Male","17"
"7",""
"Female","182"
"Male","129"
"70",""
"Female","45"
"Male","54"
"71",""
"Female","18"
"Male","30"
"72",""
"Female","13"
"Male","34"
"73",""
"Female","19"
"Male","17"
"74",""
"Female","13"
"Male","12"
"75",""
"Female","28"
"Male","23"
"76",""
"Female","15"
"Male","18"
"77",""
"Female","12"
"Male","11"
"78",""
"Female","14"
"Male","20"
"79",""
"Female","9"
"Male","8"
"8",""
"Female","144"
"Male","155"
"80",""
"Female","13"
"Male","13"
"81",""
"Female","2"
"Male","8"
"82",""
"Female","12"
"Male","7"
"83",""
"Female","11"
"Male","7"
"84",""
"Female","6"
"Male","9"
"85",""
"Female","32"
"Male","26"
"9",""
"Female","123"
"Male","151"
