"Population by Five Years Age Group","Number"
"0-4",""
"Female","520"
"Male","520"
"10-14",""
"Female","843"
"Male","831"
"15-19",""
"Female","761"
"Male","780"
"20-24",""
"Female","558"
"Male","354"
"25-29",""
"Female","406"
"Male","258"
"30-34",""
"Female","295"
"Male","201"
"35-39",""
"Female","312"
"Male","207"
"40-44",""
"Female","354"
"Male","249"
"45-49",""
"Female","271"
"Male","252"
"50-54",""
"Female","294"
"Male","285"
"55-59",""
"Female","215"
"Male","193"
"5-9",""
"Female","715"
"Male","690"
"60-64",""
"Female","184"
"Male","211"
"65-69",""
"Female","141"
"Male","135"
"70-74",""
"Female","108"
"Male","147"
"75+",""
"Female","154"
"Male","150"
