"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","46"
"Christianity","10"
"Hindu","49458"
"Islam","9566"
"Jainism","0"
"Kirat","0"
"Prakriti","3"
"Sikhism","0"
"Undefined","178"
"Total","59261"
