"Number of households by type of outer wall","Number"
"BambooWall","4787"
"Cement Bonded Bricks/Stone Wall","4083"
"Mud Bonded Bricks/Stone Wall","689"
"Not Stated about Wall","241"
"Other Type Wall","36"
"Unbaked Bricks","27"
"Wood/Planks","171"
"Total","10034"
