"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","35"
"Male","42"
"","77"
"English",""
"Female","10"
"Male","8"
"","18"
"Hindi",""
"Female","10"
"Male","28"
"","38"
"Jirel",""
"Female","5"
"Male","9"
"","14"
"Magar",""
"Female","9"
"Male","7"
"","16"
"Maithili",""
"Female","22"
"Male","76"
"","98"
"Nepali",""
"Female","12228"
"Male","11705"
"","23933"
"Newar",""
"Female","467"
"Male","444"
"","911"
"Others",""
"Female","15"
"Male","13"
"","28"
"Tamang",""
"Female","3002"
"Male","2838"
"","5840"
"Tharu",""
"Female","7"
"Male","9"
"","16"
"Urdu",""
"Female","22"
"Male","18"
"","40"
