"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","1039"
"Christianity","376"
"Hindu","16006"
"Islam","2"
"Jainism","0"
"Kirat","4"
"Prakriti","5502"
"Sikhism","0"
"Undefined","24"
"Total","22954"
