"Population by Caste Ethinicity","Number"
"Badi",""
"Female","10"
"Male","12"
"","22"
"Brahman - Hill",""
"Female","1609"
"Male","1416"
"","3025"
"Brahman - Tarai",""
"Female","9"
"Male","8"
"","17"
"Chhetri",""
"Female","4415"
"Male","3799"
"","8214"
"Damai/Dholi",""
"Female","224"
"Male","205"
"","429"
"Gharti/Bhujel",""
"Female","24"
"Male","23"
"","47"
"Kami",""
"Female","224"
"Male","206"
"","430"
"Magar",""
"Female","30"
"Male","29"
"","59"
"Majhi",""
"Female","67"
"Male","60"
"","127"
"Newar",""
"Female","356"
"Male","343"
"","699"
"Others",""
"Female","31"
"Male","28"
"","59"
"Sarki",""
"Female","136"
"Male","131"
"","267"
"Sherpa",""
"Female","64"
"Male","62"
"","126"
"Sunuwar",""
"Female","13"
"Male","13"
"","26"
"Tamang",""
"Female","476"
"Male","442"
"","918"
"Thakuri",""
"Female","43"
"Male","29"
"","72"
"Thami",""
"Female","4277"
"Male","4140"
"","8417"
