"Population by Five Years Age Group","Number"
"0-4",""
"Female","2235"
"Male","2280"
"10-14",""
"Female","3972"
"Male","3987"
"15-19",""
"Female","3745"
"Male","3108"
"20-24",""
"Female","2981"
"Male","1979"
"25-29",""
"Female","2432"
"Male","1893"
"30-34",""
"Female","1966"
"Male","1605"
"35-39",""
"Female","1712"
"Male","1498"
"40-44",""
"Female","1468"
"Male","1323"
"45-49",""
"Female","1085"
"Male","1126"
"50-54",""
"Female","864"
"Male","785"
"55-59",""
"Female","736"
"Male","769"
"5-9",""
"Female","3101"
"Male","3291"
"60-64",""
"Female","763"
"Male","706"
"65-69",""
"Female","440"
"Male","475"
"70-74",""
"Female","291"
"Male","309"
"75+",""
"Female","317"
"Male","367"
