"Population by Single Year of Age","Number"
"0",""
"Female","1958"
"Male","1966"
"1",""
"Female","1826"
"Male","1909"
"10",""
"Female","3047"
"Male","3189"
"11",""
"Female","2645"
"Male","2592"
"12",""
"Female","3091"
"Male","3225"
"13",""
"Female","2913"
"Male","2990"
"14",""
"Female","2932"
"Male","2847"
"15",""
"Female","3036"
"Male","2797"
"16",""
"Female","2763"
"Male","2577"
"17",""
"Female","2792"
"Male","2639"
"18",""
"Female","3032"
"Male","2711"
"19",""
"Female","1940"
"Male","1570"
"2",""
"Female","2061"
"Male","2010"
"20",""
"Female","2121"
"Male","1553"
"21",""
"Female","1722"
"Male","1192"
"22",""
"Female","2292"
"Male","1429"
"23",""
"Female","1655"
"Male","1102"
"24",""
"Female","1521"
"Male","950"
"25",""
"Female","2014"
"Male","1185"
"26",""
"Female","1501"
"Male","983"
"27",""
"Female","1394"
"Male","1055"
"28",""
"Female","1442"
"Male","1035"
"29",""
"Female","845"
"Male","705"
"3",""
"Female","1968"
"Male","2071"
"30",""
"Female","1988"
"Male","1173"
"31",""
"Female","686"
"Male","567"
"32",""
"Female","1228"
"Male","919"
"33",""
"Female","890"
"Male","672"
"34",""
"Female","857"
"Male","642"
"35",""
"Female","1897"
"Male","1161"
"36",""
"Female","959"
"Male","680"
"37",""
"Female","873"
"Male","619"
"38",""
"Female","1070"
"Male","829"
"39",""
"Female","789"
"Male","611"
"4",""
"Female","2394"
"Male","2441"
"40",""
"Female","2112"
"Male","1450"
"41",""
"Female","864"
"Male","677"
"42",""
"Female","1183"
"Male","982"
"43",""
"Female","902"
"Male","725"
"44",""
"Female","807"
"Male","701"
"45",""
"Female","1555"
"Male","1131"
"46",""
"Female","977"
"Male","756"
"47",""
"Female","862"
"Male","792"
"48",""
"Female","1023"
"Male","966"
"49",""
"Female","729"
"Male","770"
"5",""
"Female","2686"
"Male","2560"
"50",""
"Female","1570"
"Male","1423"
"51",""
"Female","657"
"Male","714"
"52",""
"Female","937"
"Male","874"
"53",""
"Female","757"
"Male","694"
"54",""
"Female","606"
"Male","652"
"55",""
"Female","1029"
"Male","933"
"56",""
"Female","690"
"Male","712"
"57",""
"Female","648"
"Male","640"
"58",""
"Female","695"
"Male","687"
"59",""
"Female","580"
"Male","556"
"6",""
"Female","2632"
"Male","2509"
"60",""
"Female","1168"
"Male","1057"
"61",""
"Female","581"
"Male","587"
"62",""
"Female","633"
"Male","632"
"63",""
"Female","520"
"Male","484"
"64",""
"Female","474"
"Male","455"
"65",""
"Female","778"
"Male","654"
"66",""
"Female","410"
"Male","388"
"67",""
"Female","559"
"Male","529"
"68",""
"Female","515"
"Male","569"
"69",""
"Female","240"
"Male","355"
"7",""
"Female","2928"
"Male","2686"
"70",""
"Female","719"
"Male","693"
"71",""
"Female","279"
"Male","370"
"72",""
"Female","349"
"Male","450"
"73",""
"Female","261"
"Male","371"
"74",""
"Female","184"
"Male","218"
"75",""
"Female","404"
"Male","413"
"76",""
"Female","237"
"Male","257"
"77",""
"Female","272"
"Male","253"
"78",""
"Female","296"
"Male","324"
"79",""
"Female","124"
"Male","131"
"8",""
"Female","2783"
"Male","2913"
"80",""
"Female","283"
"Male","246"
"81",""
"Female","110"
"Male","120"
"82",""
"Female","119"
"Male","137"
"83",""
"Female","88"
"Male","99"
"84",""
"Female","94"
"Male","113"
"85",""
"Female","501"
"Male","505"
"9",""
"Female","2668"
"Male","2583"
