"Agricultural land use area","Hectare"
"Area under arable land","26077.88"
"Area under meadows and pasture","491.59"
"Area under permanent crops","1762.72"
"Area under Temporary crops","25119.43"
"Area under temporary fallow","682.38"
"Area under temporary meadows","276.07"
"Other land","1303.54"
"Ponds","3.65"
"Woodland and forest","1710.47"
