"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","431"
"Christianity","286"
"Hindu","12262"
"Islam","1"
"Jainism","0"
"Kirat","0"
"Prakriti","231"
"Sikhism","0"
"Undefined","14"
"Total","13225"
