"Population by Mother tongue","Number"
"Bajjika",""
"Female","13470"
"Male","14562"
"Bangla",""
"Female","47"
"Male","49"
"Bhojpuri",""
"Female","534"
"Male","600"
"Doteli",""
"Female","20"
"Male","34"
"Hindi",""
"Female","10"
"Male","7"
"Magar",""
"Female","11"
"Male","11"
"Maithili",""
"Female","165"
"Male","176"
"Nepali",""
"Female","179"
"Male","205"
"Not Reported",""
"Female","184"
"Male","196"
"Others",""
"Female","12"
"Male","6"
"Rai",""
"Female","7"
"Male","5"
"Tamang",""
"Female","8"
"Male","9"
"Urdu",""
"Female","1357"
"Male","1381"
"Yakkha",""
"Female","10"
"Male","10"
