"Population by Caste Ethinicity","Number"
"Badi",""
"Female","10"
"Male","8"
"","18"
"Brahman - Hill",""
"Female","426"
"Male","328"
"","754"
"Chhetri",""
"Female","827"
"Male","649"
"","1476"
"Damai/Dholi",""
"Female","198"
"Male","167"
"","365"
"Ghale",""
"Female","202"
"Male","164"
"","366"
"Gurung",""
"Female","625"
"Male","510"
"","1135"
"Kami",""
"Female","416"
"Male","309"
"","725"
"Magar",""
"Female","424"
"Male","326"
"","750"
"Newar",""
"Female","531"
"Male","419"
"","950"
"Others",""
"Female","20"
"Male","19"
"","39"
"Tamang",""
"Female","3588"
"Male","2704"
"","6292"
