"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","43"
"Mud Roof","55"
"Not Sated Roof","39"
"Other Type of Roof","2"
"RCC Roof","3"
"Thatch/Straw Roof","877"
"Tile/Slate Roof","2567"
"Wood/Planks Roof","4"
"Total","3590"
