"Population by Caste Ethinicity","Number"
"Badi",""
"Female","102"
"Male","101"
"","203"
"Brahman - Hill",""
"Female","900"
"Male","912"
"","1812"
"Chhetri",""
"Female","2699"
"Male","2728"
"","5427"
"Damai/Dholi",""
"Female","309"
"Male","292"
"","601"
"Kami",""
"Female","1865"
"Male","1943"
"","3808"
"Magar",""
"Female","712"
"Male","722"
"","1434"
"Others",""
"Female","18"
"Male","15"
"","33"
"Sanyasi/Dasnami",""
"Female","57"
"Male","68"
"","125"
"Sarki",""
"Female","303"
"Male","311"
"","614"
"Terai Others",""
"Female","14"
"Male","10"
"","24"
"Thakali",""
"Female","7"
"Male","6"
"","13"
"Thakuri",""
"Female","3224"
"Male","3289"
"","6513"
"Tharu",""
"Female","4"
"Male","10"
"","14"
