"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","244"
"Cow Dung","7"
"Electricity Fuel","7"
"KeroseneFuel","41"
"LP Gas","758"
"Not Sated about Fuel","41"
"OthersFuel","8"
"Wood/FireWood","7858"
"Total","8964"
