"Population by Mother tongue","Number"
"Bangla",""
"Female","3"
"Male","9"
"","12"
"Bhojpuri",""
"Female","6"
"Male","31"
"","37"
"Doteli",""
"Female","14"
"Male","10"
"","24"
"Gurung",""
"Female","26"
"Male","23"
"","49"
"Magar",""
"Female","53"
"Male","44"
"","97"
"Maithili",""
"Female","18"
"Male","36"
"","54"
"Nepali",""
"Female","21241"
"Male","16323"
"","37564"
"Newar",""
"Female","220"
"Male","222"
"","442"
"Others",""
"Female","9"
"Male","20"
"","29"
"Tharu",""
"Female","32"
"Male","79"
"","111"
"Urdu",""
"Female","14"
"Male","16"
"","30"
