"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","1027"
"Christianity","369"
"Hindu","23450"
"Islam","20"
"Jainism","0"
"Kirat","0"
"Prakriti","50"
"Sikhism","0"
"Undefined","101"
"Total","25017"
